"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.96078431372549","1","0.0167582341026205","-0.26969243134285","-0.580473522294351","16","Aadat","Aadat"
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","0.125536480686695","0.641289437585734","0.12563992130984","-0.579431373297663","-1.27766592911424","18","c(""Sult1c1"", ""Sult2a6"", ""Sult2a5"")","Sult1c1,Sult2a6,Sult2a5"
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.836403033586132","1","0.0248493879589072","-0.341157300880582","-0.743521538734813","17","c(""Trim71"", ""Rbm24"", ""Rc3h1"", ""Dnd1"", ""Upf1"", ""Mov10"", ""Zc3h12a"", ""Tardbp"")","Trim71,Rbm24,Rc3h1,Dnd1,Upf1,Mov10,Zc3h12a,Tardbp"
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.712892741061755","1","0.0329431471724691","-0.395205634965457","-0.861315003570866","17","c(""Elavl4"", ""Rbm24"", ""Boll"", ""Dazl"")","Elavl4,Rbm24,Boll,Dazl"
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.964285714285714","1","0.154190966581424","0.208261461643214","0.659116851193683","16","c(""Ppcs"", ""Acat1"", ""Pdk3"", ""Pdhb"", ""Pdk2"", ""Mlycd"", ""Pdha1"", ""Acly"", ""Acss2"", ""Pdhx"", ""Dld"", ""Dip2a"", ""Acss1"", ""Dlat"", ""Pdk1"")","Ppcs,Acat1,Pdk3,Pdhb,Pdk2,Mlycd,Pdha1,Acly,Acss2,Pdhx,Dld,Dip2a,Acss1,Dlat,Pdk1"
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.915113871635611","1","0.0165979932903048","-0.290921699799403","-0.68360353674746","31","c(""Aadat"", ""Acot12"", ""Aass"", ""Pdk4"")","Aadat,Acot12,Aass,Pdk4"
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.408450704225352","1","0.0552495663125249","-0.425165611509997","-1.04844550853697","63","c(""Slc17a6"", ""Grm1"", ""Slc1a6"", ""Apba1"", ""Atp1a2"", ""Slc1a7"", ""Grm7"", ""Npy5r"", ""Kcnj10"")","Slc17a6,Grm1,Slc1a6,Apba1,Atp1a2,Slc1a7,Grm7,Npy5r,Kcnj10"
"8","GOBP_ACID_SECRETION","0.0314083080040527","0.314798531247908","0.257206466468838","-0.542747278307069","-1.31554090264817","44","c(""Abcb11"", ""Apba1"", ""Trpc4"", ""Casr"", ""Slc26a7"", ""Oprl1"", ""Drd2"", ""Chrm5"", ""Ugt1a2"", ""Drd3"", ""Htr1b"", ""Oxt"", ""Ucn"", ""Trh"", ""Oxtr"", ""Abcb4"", ""Slc22a16"", ""Cckbr"", ""Ntsr1"", ""Sv2a"")","Abcb11,Apba1,Trpc4,Casr,Slc26a7,Oprl1,Drd2,Chrm5,Ugt1a2,Drd3,Htr1b,Oxt,Ucn,Trh,Oxtr,Abcb4,Slc22a16,Cckbr,Ntsr1,Sv2a"
"9","GOBP_ACROSOME_ASSEMBLY","0.463656387665198","1","0.0535669384770951","-0.487761125276591","-1.03869714127594","15","c(""Actl9"", ""Zpbp2"", ""Zpbp"", ""Actl7a"")","Actl9,Zpbp2,Zpbp,Actl7a"
"10","GOBP_ACROSOME_REACTION","0.136831275720165","0.674353641878838","0.116739204791222","-0.518113299801236","-1.22877717954756","35","c(""Syt6"", ""Stx2"", ""Akap3"", ""Prss37"", ""Zp3"", ""Spesp1"", ""Crisp4"", ""Glrb"", ""Fam170b"", ""Ropn1"", ""Plb1"", ""Acr"", ""Ccdc87"", ""Plcd4"")","Syt6,Stx2,Akap3,Prss37,Zp3,Spesp1,Crisp4,Glrb,Fam170b,Ropn1,Plb1,Acr,Ccdc87,Plcd4"
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","NA","NA","NA","0.23585283208728","NA","104","c(""Arhgdib"", ""Stap1"", ""Ntf3"", ""Syde1"", ""Tek"", ""Parvg"", ""Hcls1"", ""Esam"", ""Abi3"", ""Pdlim4"", ""Plek"", ""Kit"", ""Gmfg"", ""Phpt1"", ""Trpv4"", ""Hax1"")","Arhgdib,Stap1,Ntf3,Syde1,Tek,Parvg,Hcls1,Esam,Abi3,Pdlim4,Plek,Kit,Gmfg,Phpt1,Trpv4,Hax1"
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.131868131868132","0.65635721744319","0.117249716749792","-0.448570542810291","-1.13272102374243","126","c(""Acta2"", ""Ryr2"", ""Myh8"", ""Ctnna3"", ""Ank2"", ""Myh4"", ""Myh3"", ""Atp1a2"", ""Rnf207"", ""Scn5a"", ""Gata4"", ""Kcnj5"", ""Myh2"", ""Cacna1g"", ""Scn3b"", ""Mybpc3"", ""Scn1a"", ""Kcne1"", ""Hcn4"", ""Sgcd"", ""Mylk2"", ""Kcnj3"", ""Myo15"", ""Gjc1"", ""Kcna5"", ""Myh7"", ""Myo5a"", ""Scn4b"", ""Kcne4"", ""Stc1"", ""Gja1"", ""Kcnj8"", ""Gja5"", ""Cacna2d1"", ""Myo1f"", ""Kcnd3"")","Acta2,Ryr2,Myh8,Ctnna3,Ank2,Myh4,Myh3,Atp1a2,Rnf207,Scn5a,Gata4,Kcnj5,Myh2,Cacna1g,Scn3b,Mybpc3,Scn1a,Kcne1,Hcn4,Sgcd,Mylk2,Kcnj3,Myo15,Gjc1,Kcna5,Myh7,Myo5a,Scn4b,Kcne4,Stc1,Gja1,Kcnj8,Gja5,Cacna2d1,Myo1f,Kcnd3"
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.802547770700637","1","0.0259735747969448","-0.353590265538725","-0.796537685211057","21","c(""Myo15"", ""Myo5a"", ""Myo1f"", ""Syne2"", ""Myo1e"", ""Fnbp1l"", ""Sun2"", ""Myo19"", ""Myo1h"", ""Myo7a"")","Myo15,Myo5a,Myo1f,Syne2,Myo1e,Fnbp1l,Sun2,Myo19,Myo1h,Myo7a"
