"","pathway","pval","padj","log2err","ES","NES","size","topGenes","log10FDR"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.956953642384106,1,0.0179363489740654,-0.26969243134285,-0.572863813060839,16,"Aadat",0
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.136911281489595,0.688820080573947,0.120985142145252,-0.579431373297663,-1.24817891087472,18,"Sult1c1,Sult2a6,Sult2a5",0.161894200759771
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.855263157894737,1,0.024285888595648,-0.341157300880582,-0.730746269240149,17,"Trim71,Rbm24,Rc3h1,Dnd1,Upf1,Mov10,Zc3h12a,Tardbp",0
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.75219298245614,1,0.030918431706181,-0.395205634965457,-0.846515793706496,17,"Elavl4,Rbm24,Boll,Dazl",0
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.958333333333333,1,0.143758989039275,0.208261461643214,0.637178507125097,16,"Ppcs,Acat1,Pdk3,Pdhb,Pdk2,Mlycd,Pdha1,Acly,Acss2,Pdhx,Dld,Dip2a,Acss1,Dlat,Pdk1",0
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS",0.936918304033092,1,0.0147735037814303,-0.290921699799403,-0.670201777519381,31,"Aadat,Acot12,Aass,Pdk4",0
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.434434434434434,1,0.0521630305460055,-0.425165611509997,-1.03722050282099,63,"Slc17a6,Grm1,Slc1a6,Apba1,Atp1a2,Slc1a7,Grm7,Npy5r,Kcnj10",0
"8","GOBP_ACID_SECRETION",0.041497975708502,0.38761064248498,0.222056046145248,-0.542747278307069,-1.29208021564699,44,"Abcb11,Apba1,Trpc4,Casr,Slc26a7,Oprl1,Drd2,Chrm5,Ugt1a2,Drd3,Htr1b,Oxt,Ucn,Trh,Oxtr,Abcb4,Slc22a16,Cckbr,Ntsr1,Sv2a",0.411604307191323
"9","GOBP_ACROSOME_ASSEMBLY",0.483906770255272,1,0.0519512476197082,-0.487761125276591,-1.02188131297845,15,"Actl9,Zpbp2,Zpbp,Actl7a",0
"10","GOBP_ACROSOME_REACTION",0.138603696098563,0.692933457463315,0.115734447701689,-0.518113299801236,-1.20927468813093,35,"Syt6,Stx2,Akap3,Prss37,Zp3,Spesp1,Crisp4,Glrb,Fam170b,Ropn1,Plb1,Acr,Ccdc87,Plcd4",0.159308468770647
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION",NA,NA,NA,0.23585283208728,NA,104,"Arhgdib,Stap1,Ntf3,Syde1,Tek,Parvg,Hcls1,Esam,Abi3,Pdlim4,Plek,Kit,Gmfg,Phpt1,Trpv4,Hax1",NA
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.135864135864136,0.685925185925186,0.115240003147781,-0.448570542810291,-1.13222406155019,126,"Acta2,Ryr2,Myh8,Ctnna3,Ank2,Myh4,Myh3,Atp1a2,Rnf207,Scn5a,Gata4,Kcnj5,Myh2,Cacna1g,Scn3b,Mybpc3,Scn1a,Kcne1,Hcn4,Sgcd,Mylk2,Kcnj3,Myo15,Gjc1,Kcna5,Myh7,Myo5a,Scn4b,Kcne4,Stc1,Gja1,Kcnj8,Gja5,Cacna2d1,Myo1f,Kcnd3",0.163723250345313
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.820043103448276,1,0.0256225253207008,-0.353590265538725,-0.781303724115952,21,"Myo15,Myo5a,Myo1f,Syne2,Myo1e,Fnbp1l,Sun2,Myo19,Myo1h,Myo7a",0
"14","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.999000999000999,1,0.0014426950408889,-0.244044069800678,-0.619116009515688,151,"Rhpn1,Tacr1,Add2,Fscn3,Fmn2,Espnl,Tgfb3,Fam107a,Ppm1e,Fscn1,Shroom1,Eln,Arhgap28,Dlc1,Phactr1,Arhgef15,Shank1,Ttc8,Tmeff2,Myoc,Nrp1,Ptger4,Met,Alms1,Itgb5,Asap3,Sorbs1,Tjp1,Ptk2b,S1pr1,Gpr65,Frmd7,Pls3,Arhgef5,Limch1,Nedd9,Spire1,Fermt2,Shank3,Clasp2,Shroom2,Epha1,Srf,Rhpn2,Ppfia1,Synpo,Fam171a1,Ppm1f,Flna,Rock2,Wnt4,Aif1l",0
"15","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.671039354187689,1,0.0324330694656715,-0.391623270630189,-0.935935401852809,46,"Lmod3,Add2,Tmod4,Tmod2,Capza3,Lmod1",0
"16","GOBP_ACTIN_FILAMENT_ORGANIZATION",1,1,0,-0.226764714017082,-0.58706666085418,396,"Rhpn1,Nphs1,Tacr1,Lmod3,Ctnna3,Pfn4,Add2,Enah,Ghsr,Tmod4,Kank4,Tmod2,Fscn3,Fmn2,Espnl,Wasf3,Cass4,Fhod3,Nlrp5,Coro6,Xirp2,Tgfb3,Kirrel,Fam107a,Arhgap40,Rgs4,Gas2l2,Myo15,Capza3,Ppm1e,Lmod1,Csf3,Fscn1,Shroom1,Eln,Arhgap28,Dlc1,Shroom4,Myo5a,Phactr1,Ttn,Actn2,Neb,Arhgef15,Wasf1,Shank1,Ctnna2,Ttc8,Ooep,Myo1f,Tmeff2,Pak3,Cxcl12,Tpm2,Nck2,Myoc,Nrp1,Ccr7,Nebl,Rnd3,Ptger4,Slit2,Met,Alms1,Tmsb15a,Tmod1,Itgb5,Tnnt2,Daam2,Asap3,Sorbs1,Tjp1,Svil,Jak2,Ptk2b,S1pr1,Gpr65,Pof1b,Frmd7,Pls3,Gm14137,Cyfip2,Arhgef5,Sh3kbp1,Limch1,Hip1,Dbn1,Nedd9,Rnd1,Arhgap12,Alox15,Elmo1,Fchsd1,Spire1,Samd14,Fermt2,Shank3,Sema5a,Clasp2,Shroom2,Fchsd2,Prkci,Epha1,Myo1e,Srf,Cit,Rhof,Vill,Rhpn2,Ppfia1,Dlg1,Rhoh,Mical2,Synpo,Ermn,Fam171a1,Elmo2,Ppm1f,Flna,Rock2,Myo19,Ccl26,Fmn1,Wnt4,Aif1l,Efs",0
"17","GOBP_ACTIN_FILAMENT_POLYMERIZATION",0.99000999000999,1,0.00458288223817775,-0.273241106139958,-0.691690568567402,140,"Nphs1,Lmod3,Pfn4,Add2,Tmod4,Kank4,Tmod2,Wasf3,Fhod3,Kirrel,Fam107a,Arhgap40,Capza3,Lmod1,Csf3,Eln,Arhgap28",0
"18","GOBP_ACTIN_FILAMENT_SEVERING",0.416666666666667,1,0.224966093540314,0.324965955515207,0.994237343615644,16,"Cfl1,Gmfg,Capg,Fmnl1,Gsn,Dstn,Cfl2",0
"19","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",0.034034034034034,0.34524757315455,0.245041785430996,-0.498217693461889,-1.24383066294868,96,"Acta2,Ryr2,Myh8,Ctnna3,Ank2,Myh4,Myh3,Atp1a2,Rnf207,Scn5a,Gata4,Kcnj5,Myh2,Cacna1g,Scn3b,Mybpc3,Scn1a,Kcne1,Hcn4,Sgcd,Mylk2,Kcnj3,Gjc1,Kcna5,Myh7,Scn4b,Kcne4,Stc1,Gja1,Kcnj8,Gja5",0.461869365520632
