"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.466666666666667","1","0.0529129848430583","-0.428530929830329","-1.02300935181328","16","c(""Ogdhl"", ""Aadat"")","Ogdhl,Aadat"
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","0.657667386609071","1","0.0366082221336689","-0.365464635541677","-0.889294497531782","18","c(""Sult1c1"", ""Sult2a6"", ""Sult2a5"")","Sult1c1,Sult2a6,Sult2a5"
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.492896174863388","1","0.0503964322442957","-0.419241982756682","-1.00710750683153","17","c(""Trim71"", ""Dnd1"", ""Rbm24"", ""Plekhn1"", ""Upf1"", ""Mov10"", ""Cpeb3"")","Trim71,Dnd1,Rbm24,Plekhn1,Upf1,Mov10,Cpeb3"
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.363934426229508","1","0.0646484568421928","-0.45389480026735","-1.09035087005193","17","c(""Dazl"", ""Boll"", ""Rbm24"", ""Elavl4"")","Dazl,Boll,Rbm24,Elavl4"
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.482758620689655","1","0.219250346703755","0.277971867242806","0.99121990224342","16","c(""Ppcs"", ""Acat1"", ""Pdhb"", ""Pdk3"", ""Mlycd"", ""Pdhx"", ""Pdk2"", ""Dlat"", ""Pdha1"", ""Dip2a"", ""Acss2"", ""Dld"", ""Pdk1"", ""Acss1"", ""Acly"")","Ppcs,Acat1,Pdhb,Pdk3,Mlycd,Pdhx,Pdk2,Dlat,Pdha1,Dip2a,Acss2,Dld,Pdk1,Acss1,Acly"
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.996919917864476","1","0.00801915843678622","-0.161152487601465","-0.426109027662351","31","c(""Aadat"", ""Aass"", ""Acot12"")","Aadat,Aass,Acot12"
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.018585595067394","0.164349240468252","0.352487857583619","-0.494465334304778","-1.38554553289081","63","c(""Gja1"", ""Slc17a6"", ""Apba1"", ""Slc1a6"", ""Ntsr1"", ""Grm1"", ""Slc7a11"", ""Grm7"", ""Avpr1b"", ""Atp1a2"", ""Slc25a18"", ""Slc1a7"", ""Grm2"", ""Npy5r"", ""Hrh3"", ""Slc1a2"", ""Slc17a7"", ""Slc6a1"", ""Stxbp1"", ""Kcnj10"", ""Kmo"", ""Gabbr1"", ""Syt4"", ""Slc7a13"", ""Slc6a13"")","Gja1,Slc17a6,Apba1,Slc1a6,Ntsr1,Grm1,Slc7a11,Grm7,Avpr1b,Atp1a2,Slc25a18,Slc1a7,Grm2,Npy5r,Hrh3,Slc1a2,Slc17a7,Slc6a1,Stxbp1,Kcnj10,Kmo,Gabbr1,Syt4,Slc7a13,Slc6a13"
"8","GOBP_ACID_SECRETION","0.0139784487705422","0.136196158913303","0.380730400722792","-0.524851059869069","-1.4332534867823","44","c(""Apba1"", ""Ntsr1"", ""Trpc4"", ""Oprl1"", ""Slc26a6"", ""Abcb4"", ""Drd2"", ""Slc26a7"", ""Chrm5"", ""Abcb11"", ""Casr"", ""Ugt1a2"", ""Oxt"", ""Drd3"", ""Slc6a1"", ""Slc22a16"", ""Sv2a"", ""Gabbr1"", ""Hrh2"", ""Ghrl"")","Apba1,Ntsr1,Trpc4,Oprl1,Slc26a6,Abcb4,Drd2,Slc26a7,Chrm5,Abcb11,Casr,Ugt1a2,Oxt,Drd3,Slc6a1,Slc22a16,Sv2a,Gabbr1,Hrh2,Ghrl"
"9","GOBP_ACROSOME_ASSEMBLY","0.577433628318584","1","0.0437125833579551","-0.398425658444124","-0.93787545308394","15","c(""Zpbp"", ""Zpbp2"", ""Acrbp"", ""Rfx2"", ""Spaca1"", ""Actl7a"", ""Actl9"", ""Tbc1d20"")","Zpbp,Zpbp2,Acrbp,Rfx2,Spaca1,Actl7a,Actl9,Tbc1d20"
"10","GOBP_ACROSOME_REACTION","0.0181453276024061","0.162047856227044","0.352487857583619","-0.53883158019008","-1.44434516409827","35","c(""Pkdrej"", ""Syt6"", ""Spesp1"", ""Cacna1h"", ""Plcb1"", ""Prss37"", ""Zp3"", ""Zp2"", ""Plb1"", ""Ropn1"", ""Acr"", ""Crisp4"", ""Stx2"", ""Stxbp1"", ""Rims1"", ""Akap3"", ""Abhd2"", ""Prnd"", ""Ccdc87"", ""Iqcf1"", ""Plcd4"")","Pkdrej,Syt6,Spesp1,Cacna1h,Plcb1,Prss37,Zp3,Zp2,Plb1,Ropn1,Acr,Crisp4,Stx2,Stxbp1,Rims1,Akap3,Abhd2,Prnd,Ccdc87,Iqcf1,Plcd4"
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.957042957042957","1","0.00966564348468499","-0.247236240147241","-0.709620797304069","104","c(""Thsd7b"", ""Trpm2"", ""S1pr2"", ""Sema3e"", ""Nphs2"", ""Cldn19"", ""Ptk7"", ""Fgf10"", ""Cass4"", ""Rapgef3"", ""Insrr"", ""Tek"", ""Nrk"", ""Pdgfra"", ""Ntrk3"", ""Phactr1"", ""Csf1r"", ""Tjp1"", ""Ptk2b"", ""Hck"", ""Abl2"", ""Hmcn1"", ""Cdc42bpa"", ""Fgf7"", ""Asb2"", ""S1pr1"", ""Gsn"", ""Mkln1"", ""Tnik"", ""Myh9"", ""Sipa1l1"", ""Eps8"", ""Nedd9"", ""Anxa1"", ""Brsk2"", ""Bcas3"", ""Kit"", ""Baiap2l1"", ""Cdc42bpb"", ""Cdc42bpg"", ""Arap1"", ""Baiap2"", ""Fes"", ""Iqgap2"", ""Cxadr"", ""Auts2"", ""Ezr"", ""Rictor"", ""Cd2ap"", ""Cttn"", ""Plec"")","Thsd7b,Trpm2,S1pr2,Sema3e,Nphs2,Cldn19,Ptk7,Fgf10,Cass4,Rapgef3,Insrr,Tek,Nrk,Pdgfra,Ntrk3,Phactr1,Csf1r,Tjp1,Ptk2b,Hck,Abl2,Hmcn1,Cdc42bpa,Fgf7,Asb2,S1pr1,Gsn,Mkln1,Tnik,Myh9,Sipa1l1,Eps8,Nedd9,Anxa1,Brsk2,Bcas3,Kit,Baiap2l1,Cdc42bpb,Cdc42bpg,Arap1,Baiap2,Fes,Iqgap2,Cxadr,Auts2,Ezr,Rictor,Cd2ap,Cttn,Plec"
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.024975024975025","0.203277734923305","0.287857117255149","-0.433382521254845","-1.25107065865338","125","c(""Ryr2"", ""Myh3"", ""Gja1"", ""Scn5a"", ""Myh4"", ""Cacna1c"", ""Myh2"", ""Ctnna3"", ""Myh8"", ""Myh7"", ""Gata4"", ""Ank2"", ""Myo15"", ""Acta2"", ""Scn1a"", ""Rnf207"", ""Kcnh2"", ""Cacnb2"", ""Myo1h"", ""Kcne2"", ""Limch1"", ""Mybpc3"", ""Kcnj8"", ""Atp1a2"", ""Kcne1"", ""Kcnj5"", ""Sgcd"", ""Cacna2d1"", ""Pde4b"", ""Sun2"", ""Myo5a"", ""Myo1f"", ""Myh6"", ""Kcnn2"", ""Hcn4"", ""Myh10"", ""Cacna1g"", ""Mylk2"", ""Scn4b"", ""Kcnj3"", ""Scn3b"", ""Frmd6"", ""Kcnj2"")","Ryr2,Myh3,Gja1,Scn5a,Myh4,Cacna1c,Myh2,Ctnna3,Myh8,Myh7,Gata4,Ank2,Myo15,Acta2,Scn1a,Rnf207,Kcnh2,Cacnb2,Myo1h,Kcne2,Limch1,Mybpc3,Kcnj8,Atp1a2,Kcne1,Kcnj5,Sgcd,Cacna2d1,Pde4b,Sun2,Myo5a,Myo1f,Myh6,Kcnn2,Hcn4,Myh10,Cacna1g,Mylk2,Scn4b,Kcnj3,Scn3b,Frmd6,Kcnj2"
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.403620873269436","1","0.0584693210386381","-0.420413674305202","-1.05075473347268","21","c(""Myo15"", ""Myo1h"", ""Sun2"", ""Myo5a"", ""Myo1f"", ""Myo1e"", ""Myo5c"", ""Fnbp1l"", ""Syne2"", ""Myo7b"", ""Myo19"")","Myo15,Myo1h,Sun2,Myo5a,Myo1f,Myo1e,Myo5c,Fnbp1l,Syne2,Myo7b,Myo19"
"14","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.928071928071928","1","0.0127010968624207","-0.278400642242539","-0.810179380573371","151","c(""Shank1"", ""Tacr1"", ""Rhpn1"", ""Espnl"", ""Asap3"", ""Limch1"", ""Add2"", ""Ttc8"", ""Limk1"", ""Arhgap28"", ""Fam107a"", ""Eln"", ""Ppm1e"", ""Fmn2"", ""Ccdc88a"", ""Spire1"", ""Dlc1"", ""Phldb2"", ""Rapgef3"", ""Ptger4"", ""Shroom1"", ""Fscn3"", ""Dpysl3"", ""Srf"", ""Met"", ""Phactr1"", ""Tjp1"", ""Aif1l"", ""Synpo"", ""Sorbs1"", ""Ptk2b"", ""Shroom2"", ""Tmeff2"", ""Arhgef5"", ""Itgb5"", ""Synpo2"", ""Tgfb3"", ""Epha1"", ""Shank3"", ""Rhpn2"", ""Smad3"", ""Rdx"", ""Fermt2"", ""S1pr1"", ""Rock2"", ""Arhgap6"", ""Arhgef18"", ""Fhdc1"", ""Eps8"", ""Ppfia1"", ""Wnt4"", ""Nedd9"", ""Frmd7"", ""Fhod1"", 
""Clasp2"", ""Pls3"", ""Src"", ""Baiap2l1"", ""Pfn2"", ""Lcp1"", ""Pxn"", ""Arap1"", ""Tsc1"", ""Baiap2"", ""Evl"", ""Clasp1"", ""Cul3"", ""Lima1"", ""Ezr"", ""Pik3r1"", ""Rhod"")","Shank1,Tacr1,Rhpn1,Espnl,Asap3,Limch1,Add2,Ttc8,Limk1,Arhgap28,Fam107a,Eln,Ppm1e,Fmn2,Ccdc88a,Spire1,Dlc1,Phldb2,Rapgef3,Ptger4,Shroom1,Fscn3,Dpysl3,Srf,Met,Phactr1,Tjp1,Aif1l,Synpo,Sorbs1,Ptk2b,Shroom2,Tmeff2,Arhgef5,Itgb5,Synpo2,Tgfb3,Epha1,Shank3,Rhpn2,Smad3,Rdx,Fermt2,S1pr1,Rock2,Arhgap6,Arhgef18,Fhdc1,Eps8,Ppfia1,Wnt4,Nedd9,Frmd7,Fhod1,Clasp2,Pls3,Src,Baiap2l1,Pfn2,Lcp1,Pxn,Arap1,Tsc1,Baiap2,Evl,Clasp1,Cul3,Lima1,Ezr,Pik3r1,Rhod"
"15","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.751263902932255","1","0.0268860833830403","-0.311192747293273","-0.851049458181341","46","c(""Avil"", ""Tmod4"", ""Lmod3"", ""Tmod2"", ""Capza3"", ""Add2"", ""Tmod1"", ""Lmod1"", ""Vill"")","Avil,Tmod4,Lmod3,Tmod2,Capza3,Add2,Tmod1,Lmod1,Vill"
