"","pathway","pval","padj","log2err","ES","NES","size","topGenes","log10FDR"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.490066225165563,1,0.0511147954416412,-0.428530929830329,-1.02318006474084,16,"Ogdhl,Aadat",0
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.672786177105832,1,0.0355420211253902,-0.365464635541677,-0.896363078865581,18,"Sult1c1,Sult2a6,Sult2a5",0
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.492864983534577,1,0.0506004243853618,-0.419241982756682,-1.01117910352707,17,"Trim71,Dnd1,Rbm24,Plekhn1,Upf1,Mov10,Cpeb3",0
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.351262349066959,0.99072519110566,0.0665892104103933,-0.45389480026735,-1.09475900817956,17,"Dazl,Boll,Rbm24,Elavl4",0.00404679408921951
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.5,1,0.204294756516886,0.277971867242806,0.935680762885762,16,"Ppcs,Acat1,Pdhb,Pdk3,Mlycd,Pdhx,Pdk2,Dlat,Pdha1,Dip2a,Acss2,Dld,Pdk1,Acss1,Acly",0
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS",0.998969072164948,1,0.00829069833204511,-0.161152487601465,-0.427441785634792,31,"Aadat,Aass,Acot12",0
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.0138803051984321,0.135538892300294,0.380730400722792,-0.494465334304778,-1.3927008663154,63,"Gja1,Slc17a6,Apba1,Slc1a6,Ntsr1,Grm1,Slc7a11,Grm7,Avpr1b,Atp1a2,Slc25a18,Slc1a7,Grm2,Npy5r,Hrh3,Slc1a2,Slc17a7,Slc6a1,Stxbp1,Kcnj10,Kmo,Gabbr1,Syt4,Slc7a13,Slc6a13",0.867936067979125
"8","GOBP_ACID_SECRETION",0.0141010786441825,0.136840100240929,0.380730400722792,-0.524851059869069,-1.4382705874069,44,"Apba1,Ntsr1,Trpc4,Oprl1,Slc26a6,Abcb4,Drd2,Slc26a7,Chrm5,Abcb11,Casr,Ugt1a2,Oxt,Drd3,Slc6a1,Slc22a16,Sv2a,Gabbr1,Hrh2,Ghrl",0.863786616348519
"9","GOBP_ACROSOME_ASSEMBLY",0.572535991140642,1,0.0441523058441465,-0.398425658444124,-0.945163501026154,15,"Zpbp,Zpbp2,Acrbp,Rfx2,Spaca1,Actl7a,Actl9,Tbc1d20",0
"10","GOBP_ACROSOME_REACTION",0.0179863048603962,0.160468177700281,0.352487857583619,-0.53883158019008,-1.45094224593314,35,"Pkdrej,Syt6,Spesp1,Cacna1h,Plcb1,Prss37,Zp3,Zp2,Plb1,Ropn1,Acr,Crisp4,Stx2,Stxbp1,Rims1,Akap3,Abhd2,Prnd,Ccdc87,Iqcf1,Plcd4",0.794611079267952
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION",0.966033966033966,1,0.00855469372683394,-0.247236240147241,-0.713333046084521,104,"Thsd7b,Trpm2,S1pr2,Sema3e,Nphs2,Cldn19,Ptk7,Fgf10,Cass4,Rapgef3,Insrr,Tek,Nrk,Pdgfra,Ntrk3,Phactr1,Csf1r,Tjp1,Ptk2b,Hck,Abl2,Hmcn1,Cdc42bpa,Fgf7,Asb2,S1pr1,Gsn,Mkln1,Tnik,Myh9,Sipa1l1,Eps8,Nedd9,Anxa1,Brsk2,Bcas3,Kit,Baiap2l1,Cdc42bpb,Cdc42bpg,Arap1,Baiap2,Fes,Iqgap2,Cxadr,Auts2,Ezr,Rictor,Cd2ap,Cttn,Plec",0
