"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"Cyp2c55","Cyp2c55",1187.8066188,1424.3365864,1444.5944645,1233.8685871,954.5817975,1013.5821612,984.213856900001,727.6787017,1096.6850432,1295.661557,1083.3657773,677.7764756,1179.767285,927.6728856,1647.160134
"Car1","Car1",1156.1665798,1325.9738538,1457.7190123,1182.6898448,965.4694504,968.6845021,962.598739,651.380796,1049.1732864,997.265307,1023.855873,632.7197931,1102.3999982,914.0643174,1472.8985165
"Hoxb13","Hoxb13",132.1246931,381.8165115,397.4371033,196.0156029,83.21478554,130.0081863,47.1387374,132.4158509,181.5324447,493.4410045,239.4275915,34.7424964,157.2496071,100.6505632,242.6972429
"Clca4","Clca4",210.76353455,104.6134704,213.7183932,67.8185395,141.904995,73.9292007,108.5208302,64.6881711,78.0427748,114.6405508,47.8337806,51.783145,99.4984121,58.2111164,93.3296743
"Clec2h","Clec2h",528.9474061,894.4519844,652.5582448,682.0128763,485.7797729,468.70006,484.1349731,284.1099294,833.282571900001,833.4748688,775.0788025,524.9192306,676.3201506,613.0769726,1194.0945006
"Isx","Isx",764.0066478,1068.9339022,888.433102899999,843.928786,573.1258946,670.311576,738.3116195,406.2922219,722.6488975,601.4828034,664.1169792,495.547972,851.1713502,593.349784,1076.2759587
"Nlrp6","Nlrp6",742.9630201,948.779939,816.7339241,880.588450099999,453.4003536,501.7693168,573.1277017,458.9583266,661.7922156,860.7402093,715.2748656,338.1909937,836.8575415,671.4086981,1094.1083234
"Noxa1","Noxa1",444.8134722,582.3111577,686.5970417,534.1430851,377.78801,418.7087604,431.2935579,271.2901442,221.2954177,362.961268,193.2648624,147.5778017,422.8159777,206.2153075,486.4434859
"Ern2","Ern2",116.7345426,113.5645591,109.015444,158.1887322,53.43022663,94.2208851,72.8616276,83.6386306,84.4887131,92.6910695,70.5184612,26.5475756,83.2360689,30.4786616,58.3107076
"Pla2g10","Pla2g10",626.2810779,810.8879638,918.7641584,637.6223452,487.5242953,439.1081412,589.2685269,316.5568244,494.0014719,647.1296691,442.552635,269.5630089,649.6249363,376.0536034,786.2305704
"Hsd3b3","Hsd3b3",978.8963367,1217.6997221,1245.5418561,1003.936754,730.9219205,749.7757481,869.0559706,524.6363063,883.732375,904.6025665,941.6286415,589.2306188,1024.8125696,733.2136457,1292.2741841
"Krt20","Krt20",803.4414569,1203.9765162,1066.9782163,949.83466427,563.7317557,643.8715233,674.6869688,471.345093,1016.465627,1176.5922597,1074.0669203,617.3552205,844.0942676,775.3975737,1458.1876081
"X1810065E05Rik","X1810065E05Rik",1061.5449765,1387.8511495,1346.367831,1060.6504624,947.3749091,956.6483901,956.3828504,567.5075599,969.8237725,913.7117969,959.0084142,651.3872409,1039.8850193,937.777315,1487.0256959
"Agr2","Agr2",230.48970814,319.9831159,205.8216592,108.5063033,143.3415279,73.3325678,173.39411654,36.70893954,68.8628068,167.1870339,113.42920983,54.1576828,101.6701627,112.6884452,200.78948276
"Cldn23","Cldn23",629.6790507,944.0778336,828.4788476,820.5488696,426.3428484,545.5836329,524.8378649,309.7866913,916.3736312,1071.6664444,793.5753056,525.349583,784.4061025,608.7183978,1224.2645714
"Hsd17b2","Hsd17b2",931.5564478,1156.191868,1180.7795537,978.1778816,765.95421864,791.8332182,836.8995743,500.1565633,816.5888277,906.749484900001,800.8376992,538.0766909,995.3406618,737.1642534,1208.8183809
"Sult1b1","Sult1b1",902.9477437,1185.4575203,1319.307793,1005.1614336,753.44259523,820.355559300001,843.1351913,530.5606439,806.6732851,1033.5618967,859.04415,565.6260078,1042.2963609,715.650135,1346.6805911
"Mgat4c","Mgat4c",1028.2649903,1253.1361145,1157.4715329,1016.6978896,851.639279899999,822.9326651,946.8050517,496.229625,835.1721104,829.4843826,940.5790027,606.6804021,1005.7447939,811.4175559,1380.7176249
"Rnf186","Rnf186",614.3669099,633.6127287,539.0737569,545.9271457,445.0809724,407.829927,527.2565536,227.9540913,359.4852596,358.8126737,281.8097551,96.3475759,360.2595788,603.7363907,732.1317441
"Hgfac","Hgfac",426.4305645,551.3636808,510.1515681,430.7360846,235.86525285,386.1212417,342.3795313,179.3965515,311.3525183,418.8395782,362.2084646,183.4176266,315.8154584,272.3533133,564.9347442
"Fam3b","Fam3b",675.8691193,1064.0841698,899.4028452,784.8308204,510.1011233,609.248674,625.6682625,355.5262289,742.1831631,750.898350699999,718.2877306,563.2307821,767.9677646,601.1689947,1089.2118639
"Entpd8","Entpd8",593.6451921,919.9973701,927.5762602,761.0682526,342.1918908,530.0543963,509.3423019,355.0171027,759.9662776,792.4158989,718.3234813,454.6665399,740.9696656,438.0591556,1044.3958623
"Kcne3","Kcne3",476.2445269,292.9312809,584.4307838,269.6658368,400.6485377,266.5287915,346.5582424,199.005799,140.9866445,259.7183762,115.5904257,50.6078958,314.8989113,201.7665592,177.6759825
"Chst4","Chst4",32.1828218,95.3551587,123.2247988,27.123714,23.3449774,0,42.1941783,14.3450931,2.2805915,12.9832523,19.0276466,4.444675,29.292947,22.9480352,30.9313048
"Espn","Espn",930.1598067,1208.4279838,1392.7766492,986.9006155,791.3184235,761.1321844,799.4279565,504.763998,845.2986825,899.7650685,888.9212888,514.3143935,887.4483539,631.0542004,1140.0290913
"BC030870","BC030870",557.5396308,712.8415474,630.7763303,549.88612,314.9186194,269.9379558,361.4418349,214.4321162,437.5709003,758.8089753,602.1671671,274.6465345,669.413409,370.4858057,852.6622033
"Ihh","Ihh",494.7533536,703.6704871,517.9959247,683.0002558,376.5494645,626.0515099,457.402031,334.0146012,480.6897972,554.5535416,440.8855868,348.9162156,588.4500046,423.9837122,707.7805526
"Cldn2","Cldn2",248.417398,251.4613176,241.2046186,322.8944274,128.3990303,158.7953655,144.6692376,104.2829431,53.0393598,142.7699833,70.8712878,29.7315915,167.5756114,165.5225655,168.5682806
"Gstm3","Gstm3",698.8841413,494.3371699,869.3840081,614.3678495,491.4363865,533.2736751,650.7965287,326.3187715,300.3128223,366.317698,235.2263386,147.2357292,558.535961,290.3538071,409.1303022
"Clrn3","Clrn3",556.279413,923.0179688,684.0097892,634.0832271,313.4033163,518.6095114,493.9199058,274.9927892,654.5650797,759.0125563,535.2723059,428.2392447,774.5956293,424.520565,972.0685399
"X2510049J12Rik","X2510049J12Rik",537.9698798,755.2164468,974.1234693,642.5920148,450.3417742,522.9451374,650.8913703,327.5851895,536.9116969,679.2049796,567.2591973,363.0778244,699.3308761,410.0912845,930.6858152
"Cdx2","Cdx2",837.4621431,1139.3221983,1010.2403926,846.0562746,680.5909666,802.3388366,788.5432468,494.9846967,565.2349896,642.2373456,572.520295,454.3423043,901.2127549,631.5244833,932.1454501
"Spink4","Spink4",34.3145559,116.0068723,92.506812,55.9707606,100.3178008,5.8011947,51.7795592,24.4169652,14.6785433,46.2521933,60.56433714,36.0286329,54.388719,62.598366,131.86930242
"Lrrc26","Lrrc26",324.4465299,459.7634286,343.3884542,302.414887,349.2215898,264.7058135,395.5650611,200.9640032,122.5044776,210.0514285,140.0812429,97.961608,356.0373242,260.4054304,286.5894347
"Cgref1","Cgref1",454.1155409,744.2906288,650.29789547,615.50112625,391.90104016,458.3741122,463.5952335,243.8848681,352.978804,321.8916129,362.4818853,325.4439032,479.7740086,407.8500238,732.0104736
"Tm4sf20","Tm4sf20",1105.7796362,1202.5123544,1449.9767376,1014.7897858,910.7980533,879.390603399999,889.0458621,612.6718252,847.0873202,1102.2694692,814.6782381,483.1111182,1081.7629544,809.7826747,1412.2175251
"Akr1c19","Akr1c19",941.4018823,947.4823958,1180.2081446,856.3207116,798.63337026,745.9237833,852.4965105,469.388222,613.7473702,694.6908776,644.8436185,426.7727884,926.1087397,651.86232,1157.1890888
"Dmbt1","Dmbt1",1083.6628392,1151.442393,1461.8779528,1090.6326012,863.165624,886.4541215,967.5025964,677.1250769,993.972576,1254.8838125,986.759313899999,585.961384,1089.5443732,801.3173129,1424.3988227
