"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.928952042628774","1","0.0436251240000606","0.24686632579494","0.625098397683721","16","c(""Tat"", ""Got1"", ""Aadat"", ""Phyh"", ""Idh2"")","Tat,Got1,Aadat,Phyh,Idh2"
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","0.798941798941799","1","0.0501934252649434","0.298934734455895","0.764863168491967","17","c(""Slc35b3"", ""Tpst2"", ""Tpst1"", ""Sult2b1"", ""Sult2a5"", ""Sult1b1"", ""Slc35b2"")","Slc35b3,Tpst2,Tpst1,Sult2b1,Sult2a5,Sult1b1,Slc35b2"
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.390804597701149","0.794584802898342","0.100990587455923","-0.38089511796819","-1.0460328229723","17","c(""Rc3h1"", ""Rbm24"", ""Cpeb3"", ""Tardbp"", ""Upf1"", ""Zc3h12d"", ""Zc3h12a"", ""Mov10"")","Rc3h1,Rbm24,Cpeb3,Tardbp,Upf1,Zc3h12d,Zc3h12a,Mov10"
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.992895204262877","1","0.0405756447890657","0.182882312441422","0.463082358858398","16","c(""Mapkapk2"", ""Mettl16"", ""Elavl1"", ""Myd88"", ""Hnrnpc"", ""Angel2"", ""Hnrnpa0"", ""Rbm10"", ""Zfp36"")","Mapkapk2,Mettl16,Elavl1,Myd88,Hnrnpc,Angel2,Hnrnpa0,Rbm10,Zfp36"
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.947608200455581","1","0.0541200569620232","-0.240539191334815","-0.65230148603259","16","c(""Pdk4"", ""Dlat"", ""Acss2"", ""Dld"")","Pdk4,Dlat,Acss2,Dld"
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.997512437810945","1","0.055826471778749","-0.156008172817203","-0.490158037967225","31","c(""Pdk4"", ""Pipox"", ""Acot12"", ""Dlat"", ""Acaca"", ""Acss2"", ""Dld"", ""Mvd"", ""Acacb"")","Pdk4,Pipox,Acot12,Dlat,Acaca,Acss2,Dld,Mvd,Acacb"
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.787114845938375","1","0.0730744399126987","-0.232412050921271","-0.849310823108944","60","c(""Slc1a2"", ""Cln8"", ""Trpv1"", ""Slc1a7"", ""Lrrc8e"", ""Slc25a18"", ""Rab3gap1"", ""Slc17a8"", ""Grm1"", ""Slc17a6"", ""Nf1"", ""Slc25a13"", ""Gja1"", ""Apba1"", ""Slc1a6"")","Slc1a2,Cln8,Trpv1,Slc1a7,Lrrc8e,Slc25a18,Rab3gap1,Slc17a8,Grm1,Slc17a6,Nf1,Slc25a13,Gja1,Apba1,Slc1a6"
"8","GOBP_ACID_SECRETION","0.353403141361257","0.768892140749292","0.115734447701689","-0.320888857176821","-1.0728475014015","42","c(""Drd3"", ""Abcb11"", ""Prkaa1"", ""Ptger3"", ""Trpv1"", ""Hip1r"", ""Casr"", ""Sgk1"", ""Drd2"", ""Nf1"", ""Apba1"")","Drd3,Abcb11,Prkaa1,Ptger3,Trpv1,Hip1r,Casr,Sgk1,Drd2,Nf1,Apba1"
"9","GOBP_ACROSOME_ASSEMBLY","0.510600706713781","0.877264602932861","0.0716527366829457","0.384375018561813","0.964075304349422","15","c(""Spink2"", ""Zpbp"", ""Ccdc136"", ""Actl9"", ""Spaca1"")","Spink2,Zpbp,Ccdc136,Actl9,Spaca1"
"10","GOBP_ACROSOME_REACTION","0.190594059405941","0.586753312793515","0.158514105424824","-0.381955027502005","-1.21496164365122","33","c(""Zp3"", ""Glra1"", ""Ccdc87"", ""Plcd4"", ""Plcb1"", ""Plb1"", ""Prnd"", ""Abhd2"", ""Unc13b"")","Zp3,Glra1,Ccdc87,Plcd4,Plcb1,Plb1,Prnd,Abhd2,Unc13b"
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.00128148045671435","0.0246382751960739","0.45505986738723","0.45513393169763","1.64280385063331","101","c(""Syde1"", ""Stap1"", ""Tek"", ""Arhgdib"", ""Parvg"", ""Esam"", ""Abi3"", ""Hcls1"", ""Csf1r"", ""Anxa1"", ""Pdlim4"", ""Efs"", ""S1pr1"", ""Sema3e"", ""Mdk"", ""Pdgfra"", ""S1pr2"", ""Hax1"", ""Gmfg"", ""Arap1"", ""Gsn"", ""Plek"", ""Ptk7"", ""Hck"", ""Arhgdia"", ""Hmcn1"", ""Ccl27a"", ""Ptpn1"")","Syde1,Stap1,Tek,Arhgdib,Parvg,Esam,Abi3,Hcls1,Csf1r,Anxa1,Pdlim4,Efs,S1pr1,Sema3e,Mdk,Pdgfra,S1pr2,Hax1,Gmfg,Arap1,Gsn,Plek,Ptk7,Hck,Arhgdia,Hmcn1,Ccl27a,Ptpn1"
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT","0.901754385964912","1","0.0776798560117236","-0.199419583584991","-0.828139908136623","117","c(""Atp2a1"", ""Cacna1c"", ""Myo5a"", ""Acta2"", ""Rnf207"", ""Myh8"", ""Myh3"", ""Ctnna3"", ""Kcnj2"", ""Scn1a"", ""Mylk2"", ""Cacna1g"", ""Hcn4"", ""Myo5b"", ""Parva"", ""Ccdc88c"", ""Tnnt2"", ""Limch1"", ""Dsc2"", ""Gja1"", ""Dsg2"", ""Mylpf"", ""Myo7a"", ""Flna"", ""Gpd1l"", ""Myo9b"", ""Myh4"", ""Kcne2"", ""Cacna2d1"", ""Myo5c"", ""Snta1"", ""Myo1b"", ""Gata4"", ""Syne2"", ""Myh9"", ""Dsp"", ""Kcnd3"")","Atp2a1,Cacna1c,Myo5a,Acta2,Rnf207,Myh8,Myh3,Ctnna3,Kcnj2,Scn1a,Mylk2,Cacna1g,Hcn4,Myo5b,Parva,Ccdc88c,Tnnt2,Limch1,Dsc2,Gja1,Dsg2,Mylpf,Myo7a,Flna,Gpd1l,Myo9b,Myh4,Kcne2,Cacna2d1,Myo5c,Snta1,Myo1b,Gata4,Syne2,Myh9,Dsp,Kcnd3"
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT","0.840963855421687","1","0.0623861492893626","-0.255781618711569","-0.739500148807766","21","c(""Myo5a"", ""Myo5b"", ""Myo7a"", ""Myo5c"", ""Myo1b"", ""Syne2"", ""Myo6"", ""Wasl"", ""Fnbp1l"")","Myo5a,Myo5b,Myo7a,Myo5c,Myo1b,Syne2,Myo6,Wasl,Fnbp1l"
"14","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION","0.274324324324324","0.696056988263164","0.0905428948469474","0.28755062402205","1.09023412344823","150","c(""Apoa1"", ""Pfn2"", ""Cald1"", ""Sfrp1"", ""Synpo2"", ""Arhgap6"", ""Tacstd2"", ""Serpinf2"", ""Lcp1"", ""Fermt2"", ""Rdx"", ""S1pr1"", ""Was"", ""Aif1l"", ""Espn"", ""Arhgap28"", ""Rhoc"", ""Wnt4"", ""Shank3"", ""Myoc"", ""Tmeff2"", ""Fscn2"", ""Kctd13"", ""Lpar1"", ""Eln"", ""Cd47"", ""Ttc8"", ""Arap1"", ""Plek"", ""Coro1b"", ""Arhgef10"", ""Smad3"", ""Clasp1"", ""Arhgef18"")","Apoa1,Pfn2,Cald1,Sfrp1,Synpo2,Arhgap6,Tacstd2,Serpinf2,Lcp1,Fermt2,Rdx,S1pr1,Was,Aif1l,Espn,Arhgap28,Rhoc,Wnt4,Shank3,Myoc,Tmeff2,Fscn2,Kctd13,Lpar1,Eln,Cd47,Ttc8,Arap1,Plek,Coro1b,Arhgef10,Smad3,Clasp1,Arhgef18"
"15","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION","0.421393841166937","0.818074990621909","0.0770736734944102","0.324134724556659","1.02417903520257","44","c(""Capg"", ""Rdx"", ""Tmod1"", ""Sh3bp1"", ""Cfl1"", ""Triobp"", ""Ppp1r9b"", ""Gsn"", ""Plek"", ""Capzb"", ""Cfl2"")","Capg,Rdx,Tmod1,Sh3bp1,Cfl1,Triobp,Ppp1r9b,Gsn,Plek,Capzb,Cfl2"
"16","GOBP_ACTIN_FILAMENT_ORGANIZATION","0.0308056872037915","0.20383763156275","0.282013350011725","0.304303871052609","1.26627574700007","384","c(""Rac2"", ""Pstpip1"", ""Coro1a"", ""Apoa1"", ""Pfn2"", ""Esam"", ""Cald1"", ""Sfrp1"", ""Synpo2"", ""Hcls1"", ""Capg"", ""Arhgap6"", ""Tpm2"", ""Myo1g"", ""Ccl26"", ""Tacstd2"", ""Serpinf2"", ""Lcp1"", ""Fermt2"", ""Rdx"", ""Tmod1"", ""Rnd2"", ""Msrb2"", ""Efs"", ""Ccl24"", ""S1pr1"", ""Was"", ""Aif1l"", ""Nck1"", ""Espn"", ""Sh3kbp1"", ""Arhgap28"", ""Rhoc"", ""Abi2"", ""Bin3"", ""Wnt4"", ""Shank3"", ""Pla2g1b"", ""Myoc"", ""Rhoh"", ""Tmeff2"", ""Dbn1"", ""Arhgap25"", ""Rhog"", ""Sh3bp1"", ""Gas7"", ""Rnd1"", ""Cfl1"", ""Cdc42ep3"", ""Hax1"", ""Gmfg"", ""Triobp"", ""Bin1"", ""Arpc3"", ""Fscn2"", ""Ppp1r9b"", 
""Kctd13"", ""Lpar1"", ""Mad2l2"", ""Arf1"", ""Bcl2"", ""Eln"", ""Cd47"", ""Arpc4"", ""Arpc1a"", ""Arpc1b"", ""Nckap1l"", ""Ttc8"", ""Arap1"", ""Gsn"", ""Plek"", ""Hck"", ""Myo1h"", ""Tmsb10"", ""Aldoa"", ""Hmcn1"", ""Coro1b"", ""Mlst8"", ""Arhgef10"", ""Cotl1"", ""Smad3"", ""Clasp1"", ""Tmsb15b2"", ""Arhgef18"", ""Arpc5"", ""Trf"", ""Capzb"", ""Myo19"")","Rac2,Pstpip1,Coro1a,Apoa1,Pfn2,Esam,Cald1,Sfrp1,Synpo2,Hcls1,Capg,Arhgap6,Tpm2,Myo1g,Ccl26,Tacstd2,Serpinf2,Lcp1,Fermt2,Rdx,Tmod1,Rnd2,Msrb2,Efs,Ccl24,S1pr1,Was,Aif1l,Nck1,Espn,Sh3kbp1,Arhgap28,Rhoc,Abi2,Bin3,Wnt4,Shank3,Pla2g1b,Myoc,Rhoh,Tmeff2,Dbn1,Arhgap25,Rhog,Sh3bp1,Gas7,Rnd1,Cfl1,Cdc42ep3,Hax1,Gmfg,Triobp,Bin1,Arpc3,Fscn2,Ppp1r9b,Kctd13,Lpar1,Mad2l2,Arf1,Bcl2,Eln,Cd47,Arpc4,Arpc1a,Arpc1b,Nckap1l,Ttc8,Arap1,Gsn,Plek,Hck,Myo1h,Tmsb10,Aldoa,Hmcn1,Coro1b,Mlst8,Arhgef10,Cotl1,Smad3,Clasp1,Tmsb15b2,Arhgef18,Arpc5,Trf,Capzb,Myo19"
"17","GOBP_ACTIN_FILAMENT_POLYMERIZATION","0.025471993239748","0.179750423208471","0.352487857583619","0.365307672682269","1.3679013486033","135","c(""Pstpip1"", ""Coro1a"", ""Pfn2"", ""Esam"", ""Hcls1"", ""Capg"", ""Arhgap6"", ""Ccl26"", ""Rdx"", ""Tmod1"", ""Msrb2"", ""Ccl24"", ""Was"", ""Nck1"", ""Arhgap28"", ""Dbn1"", ""Gas7"", ""Cdc42ep3"", ""Hax1"", ""Triobp"", ""Bin1"", ""Arpc3"", ""Eln"", ""Arpc4"", ""Arpc1a"", ""Arpc1b"", ""Nckap1l"", ""Gsn"", ""Hck"", ""Tmsb10"", ""Mlst8"", ""Cotl1"", ""Tmsb15b2"", ""Arpc5"", ""Capzb"")","Pstpip1,Coro1a,Pfn2,Esam,Hcls1,Capg,Arhgap6,Ccl26,Rdx,Tmod1,Msrb2,Ccl24,Was,Nck1,Arhgap28,Dbn1,Gas7,Cdc42ep3,Hax1,Triobp,Bin1,Arpc3,Eln,Arpc4,Arpc1a,Arpc1b,Nckap1l,Gsn,Hck,Tmsb10,Mlst8,Cotl1,Tmsb15b2,Arpc5,Capzb"
"18","GOBP_ACTIN_FILAMENT_SEVERING","0.152753108348135","0.527016098698563","0.149207542435322","0.510182570992779","1.29185018097063","16","c(""Capg"", ""Fmnl1"", ""Cfl1"", ""Gmfg"", ""Gsn"", ""Cfl2"")","Capg,Fmnl1,Cfl1,Gmfg,Gsn,Cfl2"
"19","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION","0.705685618729097","0.977294978914039","0.0883594442500905","-0.230922858619522","-0.899124023757009","87","c(""Atp2a1"", ""Cacna1c"", ""Acta2"", ""Rnf207"", ""Myh8"", ""Myh3"", ""Ctnna3"", ""Kcnj2"", ""Scn1a"", ""Mylk2"", ""Cacna1g"", ""Hcn4"", ""Parva"", ""Ccdc88c"")","Atp2a1,Cacna1c,Acta2,Rnf207,Myh8,Myh3,Ctnna3,Kcnj2,Scn1a,Mylk2,Cacna1g,Hcn4,Parva,Ccdc88c"
"20","GOBP_ACTIN_NUCLEATION","0.303225806451613","0.724398598945489","0.0949751525905595","0.354233292586361","1.1107844815034","42","c(""Coro1a"", ""Was"", ""Abi2"", ""Gmfg"", ""Arpc3"", ""Arf1"", ""Arpc4"", ""Arpc1a"", ""Arpc1b"", ""Gsn"", ""Coro1b"", ""Arpc5"")","Coro1a,Was,Abi2,Gmfg,Arpc3,Arf1,Arpc4,Arpc1a,Arpc1b,Gsn,Coro1b,Arpc5"
"21","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION","0.0347129506008011","0.219432361428141","0.282013350011725","0.346866246918854","1.32917701249122","161","c(""Pstpip1"", ""Coro1a"", ""Pfn2"", ""Esam"", ""Hcls1"", ""Capg"", ""Arhgap6"", ""Ccl26"", ""Rdx"", ""Tmod1"", ""Msrb2"", ""Ccl24"", ""Was"", ""Nck1"", ""Arhgap28"", ""Abi2"", ""Dbn1"", ""Sh3bp1"", ""Gas7"", ""Cfl1"", ""Cdc42ep3"", ""Hax1"", ""Triobp"", ""Bin1"", ""Arpc3"", ""Ppp1r9b"", ""Eln"", ""Arpc4"", ""Arpc1a"", ""Arpc1b"", ""Nckap1l"", ""Gsn"", ""Plek"", ""Hck"", ""Tmsb10"", ""Mlst8"", ""Cotl1"", ""Tmsb15b2"", ""Arpc5"", ""Capzb"")","Pstpip1,Coro1a,Pfn2,Esam,Hcls1,Capg,Arhgap6,Ccl26,Rdx,Tmod1,Msrb2,Ccl24,Was,Nck1,Arhgap28,Abi2,Dbn1,Sh3bp1,Gas7,Cfl1,Cdc42ep3,Hax1,Triobp,Bin1,Arpc3,Ppp1r9b,Eln,Arpc4,Arpc1a,Arpc1b,Nckap1l,Gsn,Plek,Hck,Tmsb10,Mlst8,Cotl1,Tmsb15b2,Arpc5,Capzb"
"22","GOBP_ACTION_POTENTIAL","0.318840579710145","0.737400251304216","0.147331213699377","-0.249609647320177","-1.04976095706668","126","c(""Cacna1c"", ""Chrnb2"", ""Dmd"", ""Glra1"", ""Rnf207"", ""Cldn19"", ""Kcnh7"", ""Clcn1"", ""Scn3a"", ""Ctnna3"", ""Kcnj2"", ""Scn1a"", ""Scn4a"", ""Cacna1i"", ""Kcnh6"", ""Slc8a2"", ""Adra1a"", ""Cacna1g"", ""Hcn2"", ""Hcn4"", ""Cnr2"", ""Tmem161b"")","Cacna1c,Chrnb2,Dmd,Glra1,Rnf207,Cldn19,Kcnh7,Clcn1,Scn3a,Ctnna3,Kcnj2,Scn1a,Scn4a,Cacna1i,Kcnh6,Slc8a2,Adra1a,Cacna1g,Hcn2,Hcn4,Cnr2,Tmem161b"
"23","GOBP_ACTIVATED_T_CELL_PROLIFERATION","0.427652733118971","0.820365465075737","0.0758886900606117","0.328799140082534","1.02240592601625","40","c(""Cadm1"", ""Igf1"", ""Arg1"", ""Lgals9"", ""Ripk3"", ""Stat5b"", ""Il23a"", ""Prnp"", ""Foxp3"", ""Ido1"", ""Igfbp2"", ""Il2"", ""Il2ra"", ""Il23r"", ""Lrrc32"", ""Prkar1a"", ""Cd24a"", ""Rps3"", ""Scrib"")","Cadm1,Igf1,Arg1,Lgals9,Ripk3,Stat5b,Il23a,Prnp,Foxp3,Ido1,Igfbp2,Il2,Il2ra,Il23r,Lrrc32,Prkar1a,Cd24a,Rps3,Scrib"
"24","GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY","0.560493827160494","0.907152493450672","0.0843144320642653","-0.30135906208426","-0.919179419997392","26","c(""Gipr"", ""Lhcgr"", ""Drd5"", ""Rxfp1"")","Gipr,Lhcgr,Drd5,Rxfp1"
