"","pathway","pval","padj","log2err","ES","NES","size","topGenes","log10FDR"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.939716312056738,1,0.0430173196927508,0.24686632579494,0.622077128169102,16,"Tat,Got1,Aadat,Phyh,Idh2",0
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.799289520426288,1,0.0504983044100709,0.298934734455895,0.762093572661446,17,"Slc35b3,Tpst2,Tpst1,Sult2b1,Sult2a5,Sult1b1,Slc35b2",0
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.387243735763098,0.80217093628557,0.100990587455923,-0.38089511796819,-1.04851137524177,17,"Rc3h1,Rbm24,Cpeb3,Tardbp,Upf1,Zc3h12d,Zc3h12a,Mov10",0.0957330771330524
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.99645390070922,1,0.0403295396423143,0.182882312441422,0.460844156650937,16,"Mapkapk2,Mettl16,Elavl1,Myd88,Hnrnpc,Angel2,Hnrnpa0,Rbm10,Zfp36",0
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.924657534246575,1,0.0553642837725362,-0.240539191334815,-0.65272715784648,16,"Pdk4,Dlat,Acss2,Dld",0
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS",1,1,0.0549073703290958,-0.156008172817203,-0.499845235772172,31,"Pdk4,Pipox,Acot12,Dlat,Acaca,Acss2,Dld,Mvd,Acacb",0
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.73463687150838,0.991389213190234,0.0764767053228531,-0.232412050921271,-0.851689266255305,60,"Slc1a2,Cln8,Trpv1,Slc1a7,Lrrc8e,Slc25a18,Rab3gap1,Slc17a8,Grm1,Slc17a6,Nf1,Slc25a13,Gja1,Apba1,Slc1a6",0.00375581074602237
"8","GOBP_ACID_SECRETION",0.3025,0.731484337921215,0.123257226381337,-0.320888857176821,-1.09238280461917,42,"Drd3,Abcb11,Prkaa1,Ptger3,Trpv1,Hip1r,Casr,Sgk1,Drd2,Nf1,Apba1",0.135794968277167
"9","GOBP_ACROSOME_ASSEMBLY",0.523131672597865,0.899399577276129,0.0707899094502623,0.384375018561813,0.954898132891105,15,"Spink2,Zpbp,Ccdc136,Actl9,Spaca1",0.0460473208893664
"10","GOBP_ACROSOME_REACTION",0.152744630071599,0.527868599667018,0.175204047558551,-0.381955027502005,-1.25147997347917,33,"Zp3,Glra1,Ccdc87,Plcd4,Plcb1,Plb1,Prnd,Abhd2,Unc13b",0.277474171294998
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION",0.00303701243043926,0.0463889562077835,0.431707695803346,0.45513393169763,1.64760196340608,101,"Syde1,Stap1,Tek,Arhgdib,Parvg,Esam,Abi3,Hcls1,Csf1r,Anxa1,Pdlim4,Efs,S1pr1,Sema3e,Mdk,Pdgfra,S1pr2,Hax1,Gmfg,Arap1,Gsn,Plek,Ptk7,Hck,Arhgdia,Hmcn1,Ccl27a,Ptpn1",1.3335853993782
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.901459854014598,1,0.0797705918628453,-0.199419583584991,-0.811322939430799,117,"Atp2a1,Cacna1c,Myo5a,Acta2,Rnf207,Myh8,Myh3,Ctnna3,Kcnj2,Scn1a,Mylk2,Cacna1g,Hcn4,Myo5b,Parva,Ccdc88c,Tnnt2,Limch1,Dsc2,Gja1,Dsg2,Mylpf,Myo7a,Flna,Gpd1l,Myo9b,Myh4,Kcne2,Cacna2d1,Myo5c,Snta1,Myo1b,Gata4,Syne2,Myh9,Dsp,Kcnd3",0
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.865116279069767,1,0.0593487680335629,-0.255781618711569,-0.739804944270275,21,"Myo5a,Myo5b,Myo7a,Myo5c,Myo1b,Syne2,Myo6,Wasl,Fnbp1l",0
"14","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.25575101488498,0.680800115380863,0.0946646223153342,0.28755062402205,1.09554050025026,150,"Apoa1,Pfn2,Cald1,Sfrp1,Synpo2,Arhgap6,Tacstd2,Serpinf2,Lcp1,Fermt2,Rdx,S1pr1,Was,Aif1l,Espn,Arhgap28,Rhoc,Wnt4,Shank3,Myoc,Tmeff2,Fscn2,Kctd13,Lpar1,Eln,Cd47,Ttc8,Arap1,Plek,Coro1b,Arhgef10,Smad3,Clasp1,Arhgef18",0.166980379319961
"15","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.458881578947368,0.857353005037346,0.0734381410838857,0.324134724556659,1.00741795349515,44,"Capg,Rdx,Tmod1,Sh3bp1,Cfl1,Triobp,Ppp1r9b,Gsn,Plek,Capzb,Cfl2",0.066840325598322
