"","month","id","gender","symbol","count","DEG.18","DEG.24","DEG.both"
"1","18","53","M","Cyp2c55",52,"Down","None",FALSE
"2","18","45","M","Cyp2c55",143,"Down","None",FALSE
"3","18","46","F","Cyp2c55",110,"Down","None",FALSE
"4","18","47","F","Cyp2c55",159,"Down","None",FALSE
"5","24","60","M","Cyp2c55",63,"Down","None",FALSE
"6","24","59","M","Cyp2c55",28,"Down","None",FALSE
"7","24","58","M","Cyp2c55",105,"Down","None",FALSE
"8","24","61","M","Cyp2c55",58,"Down","None",FALSE
"9","3","8","M","Cyp2c55",182,"Down","None",FALSE
"10","3","9","M","Cyp2c55",157,"Down","None",FALSE
"11","3","10","M","Cyp2c55",293,"Down","None",FALSE
"12","3","11","M","Cyp2c55",312,"Down","None",FALSE
"13","3","56","F","Cyp2c55",65,"Down","None",FALSE
"14","3","38","F","Cyp2c55",54,"Down","None",FALSE
"15","3","39","F","Cyp2c55",226,"Down","None",FALSE
"16","18","53","M","Car1",109,"None","None",FALSE
"17","18","45","M","Car1",215,"None","None",FALSE
"18","18","46","F","Car1",220,"None","None",FALSE
"19","18","47","F","Car1",182,"None","None",FALSE
"20","24","60","M","Car1",80,"None","None",FALSE
"21","24","59","M","Car1",42,"None","None",FALSE
"22","24","58","M","Car1",61,"None","None",FALSE
"23","24","61","M","Car1",78,"None","None",FALSE
"24","3","8","M","Car1",226,"None","None",FALSE
"25","3","9","M","Car1",173,"None","None",FALSE
"26","3","10","M","Car1",345,"None","None",FALSE
"27","3","11","M","Car1",424,"None","None",FALSE
"28","3","56","F","Car1",58,"None","None",FALSE
"29","3","38","F","Car1",82,"None","None",FALSE
"30","3","39","F","Car1",301,"None","None",FALSE
"31","18","53","M","Hoxb13",65,"None","None",FALSE
"32","18","45","M","Hoxb13",197,"None","None",FALSE
"33","18","46","F","Hoxb13",255,"None","None",FALSE
"34","18","47","F","Hoxb13",79,"None","None",FALSE
"35","24","60","M","Hoxb13",3,"None","None",FALSE
"36","24","59","M","Hoxb13",77,"None","None",FALSE
"37","24","58","M","Hoxb13",58,"None","None",FALSE
"38","24","61","M","Hoxb13",7,"None","None",FALSE
"39","3","8","M","Hoxb13",5,"None","None",FALSE
"40","3","9","M","Hoxb13",26,"None","None",FALSE
"41","3","10","M","Hoxb13",154,"None","None",FALSE
"42","3","11","M","Hoxb13",31,"None","None",FALSE
"43","3","56","F","Hoxb13",20,"None","None",FALSE
"44","3","38","F","Hoxb13",40,"None","None",FALSE
"45","3","39","F","Hoxb13",87,"None","None",FALSE
"46","18","53","M","Clca4",450,"None","None",FALSE
"47","18","45","M","Clca4",783,"None","None",FALSE
"48","18","46","F","Clca4",656,"None","None",FALSE
"49","18","47","F","Clca4",580,"None","None",FALSE
"50","24","60","M","Clca4",197,"None","None",FALSE
