"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.540650406504065","1","0.0758886900606117","0.371389812688523","0.936003074312157","15","c(""Tat"", ""Ogdhl"", ""Idh2"", ""Adhfe1"")","Tat,Ogdhl,Idh2,Adhfe1"
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","0.386274509803922","1","0.0922597260527354","-0.424949583899748","-1.05918401392467","15","c(""Slc26a1"", ""Slc26a2"")","Slc26a1,Slc26a2"
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.840909090909091","1","0.0551351763385257","0.275228145239255","0.711733744196806","17","c(""Rbm24"", ""Zfp36l1"", ""Mov10"", ""Trim71"", ""Zfp36"", ""Hnrnpd"")","Rbm24,Zfp36l1,Mov10,Trim71,Zfp36,Hnrnpd"
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.980392156862745","1","0.0456790414930062","-0.213992469261778","-0.542026948885403","16","c(""Boll"", ""Mapk14"", ""Mettl16"", ""Rbm10"", ""Myd88"", ""Tardbp"", ""Tirap"", ""Mapkapk2"", ""Larp4b"")","Boll,Mapk14,Mettl16,Rbm10,Myd88,Tardbp,Tirap,Mapkapk2,Larp4b"
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","0.0764705882352941","0.836794963053352","0.227987202850442","-0.576437013153576","-1.46007192001712","16","c(""Pdk4"", ""Pdk1"", ""Dip2a"", ""Pdhx"", ""Dld"", ""Acss1"", ""Acly"", ""Mlycd"", ""Dlat"")","Pdk4,Pdk1,Dip2a,Pdhx,Dld,Acss1,Acly,Mlycd,Dlat"
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.477642276422764","1","0.0824344091527096","-0.329624841912107","-0.971815318984876","29","c(""Pdk4"", ""Pdk1"", ""Dip2a"", ""Pdhx"", ""Dlst"", ""Dld"", ""Acss1"", ""Acly"", ""Mlycd"", ""Dlat"")","Pdk4,Pdk1,Dip2a,Pdhx,Dlst,Dld,Acss1,Acly,Mlycd,Dlat"
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.0144373852061777","0.589363428289475","0.380730400722792","0.476911016471187","1.53179465469513","53","c(""Slc7a13"", ""Grm2"", ""Slc6a13"", ""Trpv1"", ""Slc6a1"", ""Lrrc8c"", ""Slc1a2"", ""Slc1a3"", ""P2rx7"", ""Snca"", ""Slc17a8"", ""Atp1a2"", ""Kmo"", ""Adora1"", ""Dtnbp1"")","Slc7a13,Grm2,Slc6a13,Trpv1,Slc6a1,Lrrc8c,Slc1a2,Slc1a3,P2rx7,Snca,Slc17a8,Atp1a2,Kmo,Adora1,Dtnbp1"
"8","GOBP_ACID_SECRETION","0.143426294820717","0.964922433172339","0.16440575583821","0.428477080175428","1.28319759137163","34","c(""Slc22a16"", ""Trpv1"", ""Slc6a1"", ""Tff2"", ""Ghrl"", ""P2rx7"", ""Slc9a4"", ""Oprl1"", ""Oxtr"", ""Ces1d"", ""Kcnq1"")","Slc22a16,Trpv1,Slc6a1,Tff2,Ghrl,P2rx7,Slc9a4,Oprl1,Oxtr,Ces1d,Kcnq1"
"9","GOBP_ACROSOME_ASSEMBLY","0.786274509803922","1","0.055826471778749","-0.307293916330197","-0.765928044372522","15","c(""Zpbp2"", ""Actl9"")","Zpbp2,Actl9"
"10","GOBP_ACROSOME_REACTION","0.105882352941176","0.898204446654406","0.191892240384838","0.470813165801922","1.34584080286194","26","c(""Serpina10"", ""Plcb1"", ""Spesp1"", ""Rims1"", ""Prnd"", ""Zp3"", ""Zp2"")","Serpina10,Plcb1,Spesp1,Rims1,Prnd,Zp3,Zp2"
