"","pathway","pval","padj","log2err","ES","NES","size","topGenes","log10FDR"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.524809160305344,1,0.0741758965588009,0.371389812688523,0.947690881347931,15,"Tat,Ogdhl,Idh2,Adhfe1",0
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.334728033472803,1,0.104732821580651,-0.424949583899748,-1.08932740996216,15,"Slc26a1,Slc26a2",0
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.841603053435115,1,0.0514264916187015,0.275228145239255,0.719423664122777,17,"Rbm24,Zfp36l1,Mov10,Trim71,Zfp36,Hnrnpd",0
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.968553459119497,1,0.0492917662312669,-0.213992469261778,-0.561527324850729,16,"Boll,Mapk14,Mettl16,Rbm10,Myd88,Tardbp,Tirap,Mapkapk2,Larp4b",0
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",0.0677845475859799,0.742173055589794,0.287805130535564,-0.576437013153576,-1.51260058383226,16,"Pdk4,Pdk1,Dip2a,Pdhx,Dld,Acss1,Acly,Mlycd,Dlat",0.129494816655362
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS",0.464876033057851,1,0.0847985102819124,-0.329624841912107,-0.98140552225056,29,"Pdk4,Pdk1,Dip2a,Pdhx,Dlst,Dld,Acss1,Acly,Mlycd,Dlat",0
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.0106829687036539,0.490093907100006,0.380730400722792,0.476911016471187,1.58431420049902,53,"Slc7a13,Grm2,Slc6a13,Trpv1,Slc6a1,Lrrc8c,Slc1a2,Slc1a3,P2rx7,Snca,Slc17a8,Atp1a2,Kmo,Adora1,Dtnbp1",0.309720696649367
"8","GOBP_ACID_SECRETION",0.127579737335835,0.843893598933922,0.169570644405628,0.428477080175428,1.29759854476801,34,"Slc22a16,Trpv1,Slc6a1,Tff2,Ghrl,P2rx7,Slc9a4,Oprl1,Oxtr,Ces1d,Kcnq1",0.0737123072948016
"9","GOBP_ACROSOME_ASSEMBLY",0.759414225941423,1,0.0605092988656667,-0.307293916330197,-0.787725647125411,15,"Zpbp2,Actl9",0
"10","GOBP_ACROSOME_REACTION",0.11605415860735,0.825445538384845,0.181383128498408,0.470813165801922,1.34612935329674,26,"Serpina10,Plcb1,Spesp1,Rims1,Prnd,Zp3,Zp2",0.0833115755316462
"11","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION",0.666051660516605,1,0.0607719451853533,0.252516468367015,0.908047626754207,90,"Abi3,Arhgdib,Plek,Pdlim4,Hcls1,Esam,Mink1,Cldn19,Ccl27a,Baiap2l2,Efs,Trpv4,Gdpd2,Hmcn1,Dtnbp1,Insrr,Trpm2,Sema3e,Antxr1,Ntrk3,Gpr65,Arhgdia,S1pr2,Hck,Kit,Grb2,Cldn3,F11r,Gmfg,Baiap2,Hax1,Phpt1,Micall2",0
"12","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.763829787234043,1,0.0610363728309177,-0.231519580705641,-0.875290645748546,107,"Epdr1,Fgf12,Hcn4,Kcne2,Cacna2d1,Kcne1,Acta2,Rnf207,Myo19,Myh10,Gja1,Slc9a1,Dlg1,Cacna1d,Nedd4l,Pde4b,Pik3ca,Myo9b,Myo5a,Gja5,Atp2a2,Nup155,Fnbp1l,Myh3,Myo1e,Dsc2,Myo5b,Dsg2,Pkp2",0
"13","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.352083333333333,1,0.101350743797099,-0.389022054663827,-1.08238243949617,20,"Myo19,Myo5a,Fnbp1l,Myo1e,Myo5b,Syne2,Myo7a,Myo1a,Myo1c,Myo5c,Myo1d",0
"14","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",0.821428571428571,1,0.0570059526582387,-0.21893364530197,-0.863221067762119,140,"Ttc8,Synpo2,Rapgef3,Nrp1,Ptger4,Arhgap28,Alms1,Itgb5,Shroom1,Nedd9,Wnt4,Tesk1,Pls3,Slc9a1,Ptk2b,Swap70,Clasp1,Fam171a1,Cul3,Epha1,Kctd13,Rock2,Tgfbr1,Rhpn2,Fscn2,Met,Arhgef5,Clasp2",0
"15","GOBP_ACTIN_FILAMENT_DEPOLYMERIZATION",0.467672413793103,1,0.086794975677172,-0.307013130550286,-0.988717997218749,42,"Vill,Scin,Tmod4,Lmod3,Svil,Swap70,Tmod1,F2rl1,Pik3ca,Tmod3,Mical2,Capza1,Capg,Flii,Sema5a,Add3",0
"16","GOBP_ACTIN_FILAMENT_ORGANIZATION",0.827050997782705,1,0.059221919380382,-0.20434604729172,-0.895908668102204,363,"Ttc8,Ttn,Synpo2,Shroom4,Rhof,Gm14137,Rapgef3,Nrp1,Gba2,Cdc42ep2,Vill,Pfn4,Ptger4,Arhgap28,Scin,Rnd3,Tmod4,Alms1,Itgb5,Shroom1,Samd14,Elmo2,Slit2,Sh3kbp1,Cxcl12,Myo19,Nedd9,Wnt4,Tesk1,Prkci,Lmod3,Svil,Mlst8,Pls3,Slc9a1,Dlg1,Ptk2b,Swap70,Jak2,Clasp1,Pof1b,Nck2,Fmn1,Fchsd1,Rhobtb2,Arhgap12,Nckap1,Tmod1,Fam171a1,F2rl1,Pik3ca,Cul3,Epha1,Elmo1,Kctd13,Rock2,Gmfb,Tgfbr1,Ssh3,Tmod3,Rhpn2,Fscn2,Myo5a,Pstpip2,Arfip1,Met,Arhgef5,Mical2,Clasp2,Tle6,Cyfip1,Arap1,Cdc42ep3,Pxn,Ppfia1,Mprip,Myo1e,Capza1,Myo5b,Cdc42ep4,Phldb2,Arfgef1,Shroom2,Ppp1r9a,Actn1,Cd2ap,Capg,Cass4,Gas2,Bag4,Arhgap18,Cgnl1,Flii,Sema5a,Add3,Myadm,Rictor,Src,Fchsd2,Jmy,Lcp1,Ssh2",0
"17","GOBP_ACTIN_FILAMENT_POLYMERIZATION",0.948936170212766,1,0.0509082865515105,-0.196595790040276,-0.763903886112262,126,"Gm14137,Gba2,Cdc42ep2,Vill,Pfn4,Arhgap28,Scin,Tmod4,Slit2,Lmod3,Svil,Mlst8,Dlg1,Ptk2b,Jak2,Nck2,Fmn1,Fchsd1,Nckap1,Tmod1,Ssh3,Tmod3,Pstpip2,Cyfip1,Cdc42ep3,Capza1,Cdc42ep4,Arfgef1,Capg,Bag4,Arhgap18,Flii,Add3,Myadm,Rictor,Fchsd2,Ssh2,Evl,Prkcd,Cobl,Rasa1",0
"18","GOBP_ACTIN_FILAMENT_SEVERING",0.621338912133891,1,0.0702812841717392,-0.348981584305069,-0.894588957746144,15,"Vill,Scin,Svil,Gmfb,Capg,Flii,Myh9",0
"19","GOBP_ACTIN_MEDIATED_CELL_CONTRACTION",0.718162839248434,1,0.0630790410571939,-0.245803707516614,-0.890424834868076,79,"Epdr1,Fgf12,Hcn4,Kcne2,Cacna2d1,Kcne1,Acta2,Rnf207,Gja1,Slc9a1,Dlg1,Cacna1d,Nedd4l,Pde4b,Pik3ca",0
"20","GOBP_ACTIN_NUCLEATION",0.326492537313433,1,0.0992333343771191,0.343834604304979,1.08589460032348,41,"Wasf1,Lmod2,Ctnna2,Coro1a",0
"21","GOBP_ACTIN_POLYMERIZATION_OR_DEPOLYMERIZATION",0.979423868312757,1,0.047925896705813,-0.188270132978171,-0.749939569934095,150,"Gm14137,Gba2,Cdc42ep2,Vill,Pfn4,Arhgap28,Scin,Tmod4,Slit2,Cxcl12,Lmod3,Svil,Mlst8,Dlg1,Ptk2b,Swap70,Jak2,Nck2,Fmn1,Fchsd1,Nckap1,Tmod1,F2rl1,Pik3ca,Ssh3,Tmod3,Pstpip2,Mical2,Cyfip1,Cdc42ep3,Capza1,Cdc42ep4,Arfgef1,Capg,Bag4,Arhgap18,Flii,Sema5a,Add3,Myadm,Rictor,Fchsd2,Ssh2,Evl,Prkcd,Cobl,Rasa1",0
"22","GOBP_ACTION_POTENTIAL",0.757446808510638,1,0.0614364107201271,-0.230962916849795,-0.872070291710765,104,"Chrnb4,Fgf12,Kcnmb3,Hcn4,Kcne2,Cacna2d1,Kcne1,Kcnh6,Rnf207,Gja1,Slc9a1,Ptpn3,Dlg1,Cacna1d,Slc8a1,Gpr35,Nedd4l",0
"23","GOBP_ACTIVATED_T_CELL_PROLIFERATION",0.132958801498127,0.846616132123074,0.165656695205483,0.419335542878408,1.29101544443973,36,"Il27ra,Igfbp2,Il23r,Il23a,Cadm1,Ager,Igf1,Arg1,Il2,Ido1,Scrib,Rps3,Pdcd1lg2,Cd24a,Foxp3,Lgals9,Hmgb1,Icosl",0.072313460377385
"24","GOBP_ACTIVATION_OF_ADENYLATE_CYCLASE_ACTIVITY",0.32258064516129,1,0.108820126769161,-0.418140093719792,-1.12016860087041,18,"Adora2b,Ghrhr,Avpr2,Rxfp2,Gipr",0
"25","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY",0.97071129707113,1,0.0490939668192139,-0.210847196636919,-0.559575976163519,17,"Casp9,Nlrc4,Ripk2,Asph",0
"26","GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS",0.976608187134503,1,0.0455878202571231,0.191559566559745,0.653298024658513,66,"Hip1,Slc22a2,Bbc3,Mapt,Casp12,Snca,Dlc1,F2r,Robo1,Laptm5,Ctsh,Cradd,Dap,Anp32b",0
"27","GOBP_ACTIVATION_OF_GTPASE_ACTIVITY",0.0131310470706954,0.524558267164601,0.380730400722792,-0.388688694400785,-1.43090483269098,91,"Arhgap29,Sipa1,Tbc1d1,Slc27a4,Tbc1d9b,Epha2,Arhgap24,Tbc1d30,Tbc1d2,Garnl3,Nedd9,Tbc1d22a,Tbc1d25,Rundc1,Ptk2b,Arhgap22,Ngef,Ralgapa2,Epha1,Rabgap1,Crk,Tbc1d8b,Tbc1d15,Arhgef5,Syde2,Tbc1d10b,Sgsm3,Tbck,Ralgapb,Wnt5a,Akt2,Evi5l,Arhgef19,Sipa1l3,Arhgap42,Crkl,Tbc1d4,Rabgap1l,Syde1,Tbc1d8,Tbc1d22b,Sgsm1,Tbc1d7",0.280206263995527
"28","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE",0.305122494432071,1,0.114750719227023,-0.257324607840596,-1.06425859556098,204,"Zcchc3,Hc,Dusp22,Cd46,Susd4,Vav2,Syk,Prkch,Fyn,Lat2,Btk,Bmx,Plcl2,C9,Plekha1,C2,Tlr4,Cd59b,Cblb,Rabgef1,Ikbkb,Cr2,Yes1,Ptk2,Sin3a,Lyn,Tec,Prkdc,Txk,Vav3,Znfx1,Pde4b,Traf6,Map3k7,Pik3ca,Rnf31,Malt1,Tbk1,Nlrc4,Mavs,Rela,Rbm14,Prkd2,Rc3h2,Ikbkg,Ripk2,Mill2,Pld2,Dennd1b,Xrcc5",0
"29","GOBP_ACTIVATION_OF_INNATE_IMMUNE_RESPONSE",0.0790598290598291,0.742173055589794,0.234392647294686,-0.413298886288707,-1.33573565351832,43,"Zcchc3,Syk,Fyn,Tlr4,Ikbkb,Sin3a,Lyn,Prkdc,Znfx1,Traf6,Map3k7,Tbk1,Nlrc4,Mavs,Rbm14",0.129494816655362
