"","symbol","18_53_M","18_45_M","18_46_F","18_47_F","24_60_M","24_59_M","24_58_M","24_61_M","3_8_M","3_9_M","3_10_M","3_11_M","3_56_F","3_38_F","3_39_F"
"1","Hoxb13",175.3979468,136.998717563,62.7827266,67.556705,1.9455402,90.44940515,110.06585402,172.8926541,148.53969049,139.09305995,97.552585523,6.0570968,94.2400423,79.614983117,201.150294382
"2","Cyp2c55",39.27486524,54.145224596,6.28843572,28.889389626,5.92985023,52.26583381,26.707622581,49.75592185,72.235177547,78.820826037,34.0923702893,18.80772625,49.987724805,21.943075101,70.864638275
"3","Car1",40.83612598,42.547580269,13.395536726,19.6302817264,3.92108334,33.61186438,14.703429183,23.913413,48.913219932,67.74801317,38.1245928439,17.3631315845,36.133090565,24.0150462297,55.1059956705
"4","Chst4",119.689935628,90.8644168451,32.877494207,60.616962983,6.75435782,70.319122343,88.772387141,122.178144448,144.41675693,70.109990056,71.3377811,14.574840004,115.338864341,46.121151487,260.051888634
"5","X1810065E05Rik",26.452490266,54.878287561,10.9789744,23.47889918,3.74022538,37.159160823,16.44484979,20.502401623,48.680362456,60.085543577,29.434664018,10.183923009,41.221195156,39.3545691475,61.4363894727
"6","Spink4",8.2613666245,4.244258545,7.19241728,6.239140968,2.2047524,3.391401052,15.547868205,4.352503192,12.739097902,18.237072123,8.089520684,3.565571908,9.807322168,4.148641528,22.7927720803
"7","Clca4",243.412885985,163.7182182,63.08925218,99.6873956534,24.1430592,168.78510053,180.52283153,204.162896376,264.285188123,184.815195057,151.431842254,46.90050493,232.069908288,85.575411319,395.919855299
"8","Krt20",5.97143928,17.3745743,4.1031858,1.75251409,0,3.58288443,0,0.98843461,4.266869818,18.313680076,3.713797099,0,2.73204669,3.935321508,7.102167733
"9","Isx",67.791015683,97.12612215,13.26187541,67.3355021,16.13952777,103.09153151,73.62976592,47.60919728,162.048037328,71.436581673,65.84118638,30.27031504,124.1552956,68.99536366,194.91604329
"10","Ern2",68.382701266,76.570443253,10.93053326,55.127189981,6.709519162,50.791457767,36.13562626,93.854925251,141.442301115,98.268979997,63.926826533,21.77607785,40.407159889,25.959114296,157.667293616
"11","Agr2",185.8602830685,138.85926506,52.5551605,68.67841861,15.55164408,97.035493308,119.037823738,134.31885488,166.666936599,136.310739874,110.9006251,21.456071147,111.392795261,67.6868455,249.5251233685
"12","Noxa1",239.397171495,191.625139346,78.06047117,120.10007851,23.65403631,195.08085376,177.268626435,195.657075976,281.02384212,181.12592577,146.87367954,52.18827152,222.25618244,131.303942406,405.404596844
"13","Gm1123",4.5407468,14.885837903,0.40210456,2.11386274,1.34562283,8.530738,17.688090551,4.461793944,10.14314055,4.640356208,3.22669063,0.028250601,8.73104431,4.408841602,13.278399037
"14","Pla2g10",135.00484939,128.804697166,58.60995743,73.55848044,11.726932,86.049377501,97.285798784,110.42156253,148.708572407,149.627386097,96.2146644370001,22.38145573,135.93602571,79.186690707,222.641927126
"15","Mgat4c",33.418409403,98.960757897,10.13873018,45.63783275,5.89242292,36.932918752,21.8363619,23.23967363,84.03912062,80.523400565,49.843927113,18.852299029,47.2228203,48.938145624,109.523624971
"16","Atp2c2",43.63316052,3.901246725,12.6417135,27.74108375,2.1602652,27.843045735,25.075769732,33.128724271,30.97309134,47.125246622,38.241259914,1.61124284,36.01044374,16.701617381,83.240072065
"17","Clec2h",19.27322715,18.495506145,5.106284573,10.76378643,0,7.390143555,17.538721382,22.191068825,23.747075818,47.280024567,17.062558928,0,9.01379393,12.886418026,28.396027312
"18","Sult1b1",78.601814117,107.805796634,27.22270732,48.671791555,8.86772279,68.6970091,62.851477671,83.343521393,101.318623942,124.4414558,78.481220896,19.93296617,93.050741419,55.404575793,145.5267479545
"19","Hsd3b3",52.162952739,129.928137864,20.02343428,58.670542741,12.64400954,78.82197062,49.184258369,49.064443469,141.7011727,121.771728635,75.452583032,31.006185833,101.71304031,77.611497979,192.016879817
