"","pathway","pval","padj","log2err","ES","NES","size","leadingEdge","topGenes"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS","0.298245614035088","1","0.245041785430996","0.364392335516669","1.1273031200417","16","c(""Adhfe1"", ""Ogdhl"", ""Idh2"", ""Mrps36"", ""Idh3b"", ""Got1"", ""Phyh"")","Adhfe1,Ogdhl,Idh2,Mrps36,Idh3b,Got1,Phyh"
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS","0.922902494331066","1","0.0218679438176212","-0.300497929885793","-0.654819202376771","15","c(""Sult2a5"", ""Slc26a1"")","Sult2a5,Slc26a1"
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION","0.666666666666667","1","0.159646701919906","0.277369713726905","0.858085401950259","16","c(""Dnd1"", ""Plekhn1"", ""Hnrnpd"", ""Zc3h12d"")","Dnd1,Plekhn1,Hnrnpd,Zc3h12d"
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION","0.752252252252252","1","0.0322153154599285","-0.369722190060624","-0.814114981920139","16","c(""Dazl"", ""Rbm24"")","Dazl,Rbm24"
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS","1","1","0.0162749990509926","-0.161958850871286","-0.356627571981176","16","c(""Pdk4"", ""Dlat"", ""Pdk1"", ""Pdhx"", ""Acss1"")","Pdk4,Dlat,Pdk1,Pdhx,Acss1"
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS","0.967213114754098","1","0.183023938384487","0.193069054279613","0.708160421091594","29","c(""Tdo2"", ""Pmvk"", ""Nudt8"", ""Ppcs"", ""Pdk3"", ""Mvd"", ""Nudt7"", ""Mvk"")","Tdo2,Pmvk,Nudt8,Ppcs,Pdk3,Mvd,Nudt7,Mvk"
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT","0.232723577235772","1","0.0838361057159929","-0.450563295920228","-1.14679378584288","56","c(""Grm7"", ""Lrrc8c"", ""Slc3a1"", ""Slc17a8"", ""Gja1"", ""Slc17a7"", ""Hrh3"", ""Npy5r"", ""Avp"", ""Slc7a13"", ""Kcnj10"", ""Slc25a18"", ""Gabbr1"", ""Slc1a3"", ""Slc6a1"", ""Grm1"")","Grm7,Lrrc8c,Slc3a1,Slc17a8,Gja1,Slc17a7,Hrh3,Npy5r,Avp,Slc7a13,Kcnj10,Slc25a18,Gabbr1,Slc1a3,Slc6a1,Grm1"
"8","GOBP_ACID_SECRETION","0.353125","1","0.0637845390312975","-0.444704488634197","-1.08670842409836","36","c(""Abcb11"", ""Oxt"", ""Drd3"", ""Htr1b"", ""Slc22a16"", ""Gabbr1"", ""Slc6a1"", ""Oxtr"", ""Slc9a4"", ""Abcb4"", ""Ugt1a2"", ""Tnf"")","Abcb11,Oxt,Drd3,Htr1b,Slc22a16,Gabbr1,Slc6a1,Oxtr,Slc9a4,Abcb4,Ugt1a2,Tnf"
"9","GOBP_ACROSOME_REACTION","0.0151350439880207","0.535148047874939","0.380730400722792","-0.610104892963542","-1.45920218643042","27","c(""Syt6"", ""Serpina10"", ""Akap3"", ""Rims1"", ""Zp3"", ""Zp2"", ""Plb1"", ""Fam170b"", ""Ccdc87"", ""Glra1"", ""Trim36"", ""Glrb"")","Syt6,Serpina10,Akap3,Rims1,Zp3,Zp2,Plb1,Fam170b,Ccdc87,Glra1,Trim36,Glrb"
"10","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION","0.996996996996997","1","0.00323243877654383","-0.219208266630379","-0.576615912505619","94","c(""Thsd7a"", ""Notch2"", ""Brsk2"", ""Thsd7b"", ""Efs"", ""Antxr1"", ""Nrk"", ""Flna"", ""Pdgfra"", ""Asb2"", ""Ntrk3"", ""Sema3e"", ""Gdpd2"", ""Mdk"", ""Csf3"", ""Syde1"", ""Nphs2"", ""Abl2"", ""Trpm2"", ""Myh9"", ""Nrp1"", ""Csf1r"", ""Nedd9"")","Thsd7a,Notch2,Brsk2,Thsd7b,Efs,Antxr1,Nrk,Flna,Pdgfra,Asb2,Ntrk3,Sema3e,Gdpd2,Mdk,Csf3,Syde1,Nphs2,Abl2,Trpm2,Myh9,Nrp1,Csf1r,Nedd9"
