"","pathway","pval","padj","log2err","ES","NES","size","topGenes","log10FDR"
"1","GOBP_2_OXOGLUTARATE_METABOLIC_PROCESS",0.324324324324324,1,0.237793834423688,0.364392335516669,1.13824083212208,16,"Adhfe1,Ogdhl,Idh2,Mrps36,Idh3b,Got1,Phyh",0
"2","GOBP_3_PHOSPHOADENOSINE_5_PHOSPHOSULFATE_METABOLIC_PROCESS",0.893544733861835,1,0.0236501012290726,-0.300497929885793,-0.664607725864055,15,"Sult2a5,Slc26a1",0
"3","GOBP_3_UTR_MEDIATED_MRNA_DESTABILIZATION",0.657657657657658,1,0.163180127180689,0.277369713726905,0.866411016330316,16,"Dnd1,Plekhn1,Hnrnpd,Zc3h12d",0
"4","GOBP_3_UTR_MEDIATED_MRNA_STABILIZATION",0.739618406285073,1,0.0328701032730105,-0.369722190060624,-0.826555511516484,16,"Dazl,Rbm24",0
"5","GOBP_ACETYL_COA_BIOSYNTHETIC_PROCESS",1,1,0.0160304351647231,-0.161958850871286,-0.362077214799001,16,"Pdk4,Dlat,Pdk1,Pdhx,Acss1",0
"6","GOBP_ACETYL_COA_METABOLIC_PROCESS",0.901960784313726,1,0.208955027549354,0.193069054279613,0.682178998015763,29,"Tdo2,Pmvk,Nudt8,Ppcs,Pdk3,Mvd,Nudt7,Mvk",0
"7","GOBP_ACIDIC_AMINO_ACID_TRANSPORT",0.191251271617497,1,0.0949751525905595,-0.450563295920228,-1.1655464227135,56,"Grm7,Lrrc8c,Slc3a1,Slc17a8,Gja1,Slc17a7,Hrh3,Npy5r,Avp,Slc7a13,Kcnj10,Slc25a18,Gabbr1,Slc1a3,Slc6a1,Grm1",0
"8","GOBP_ACID_SECRETION",0.316996871741397,1,0.069119845655101,-0.444704488634197,-1.10517654550793,36,"Abcb11,Oxt,Drd3,Htr1b,Slc22a16,Gabbr1,Slc6a1,Oxtr,Slc9a4,Abcb4,Ugt1a2,Tnf",0
"9","GOBP_ACROSOME_REACTION",0.0153705933526123,0.581731986962095,0.380730400722792,-0.610104892963542,-1.47487306945219,27,"Syt6,Serpina10,Akap3,Rims1,Zp3,Zp2,Plb1,Fam170b,Ccdc87,Glra1,Trim36,Glrb",0.235277055542875
"10","GOBP_ACTIN_CYTOSKELETON_REORGANIZATION",0.996987951807229,1,0.00409492237559551,-0.219208266630379,-0.583565361845552,94,"Thsd7a,Notch2,Brsk2,Thsd7b,Efs,Antxr1,Nrk,Flna,Pdgfra,Asb2,Ntrk3,Sema3e,Gdpd2,Mdk,Csf3,Syde1,Nphs2,Abl2,Trpm2,Myh9,Nrp1,Csf1r,Nedd9",0
"11","GOBP_ACTIN_FILAMENT_BASED_MOVEMENT",0.054,0.877649536706553,0.191892240384838,-0.461239003129517,-1.23410414033993,111,"Ctnna3,Myo15,Mybpc3,Scn1a,Acta2,Kcnd3,Myh2,Cacna1g,Atp2a1,Mylk2,Gja1,Scn3b,Ryr2,Kcnj3,Hcn4,Kcnj2,Myh3,Myh8,Cacna2d1,Cacna1d,Myl6b,Myo5a,Scn2b,Flna,Kcna5,Ank2,Stc1,Kcnj5,Scn5a,Kcne1",0.0566788720888171
"12","GOBP_ACTIN_FILAMENT_BASED_TRANSPORT",0.743199129488575,1,0.0311335139616949,-0.358683338588028,-0.83482931786598,21,"Myo15",0
"13","GOBP_ACTIN_FILAMENT_BUNDLE_ORGANIZATION",1,1,0,-0.202641156362052,-0.547290041552697,141,"Espnl,Shroom1,Dlc1,Cald1,Frmd7,Tgfb3,Tmeff2,Shank3,Fmn2,Arhgef15,Shank1,Ppm1e,Arhgap28,Add2,Fscn3,Flna,Asap3,Pdxp,Alms1,Ptger4,Ttc8,Fermt2,Wnt4,Clasp2,Limch1,Nrp1,Fam171a1,Met,Ppm1f,Serpinf2,Nedd9,Sorbs1,Ppfia1,Spire1,Itgb5,Pls3,Rdx,Lcp1,Evl,Arhgef5,Dpysl3,Shroom2,Actn1,Synpo2,Rock2,Epha1,Srf,Rhpn2,Rapgef3",0
